mensaje,etiqueta
Último aviso: verifica tu cuenta en https://secure.super.net/promo?t=l8hyfd,1
Te comparto el enlace del drive del proyecto: https://secure.banco.org/curso?t=g390yx,0
"Hola Sofía, ¿a qué hora nos vemos hoy para la reunión?",0
Aquí está el link del curso para mañana: https://docs.net/promo?t=fwfdvk8,1
Tu beneficio vence esta tarde. Reclama $129.000 COP en https://secure.universidad.co/promo?t=36cagkj6vl,1
¿Viste la promo del supermercado? Hay 50% en algunos productos.,0
Aquí está el link del curso para esta noche: https://app.meet.org/detalle?t=7ggl5 (ref 7703),0
Aquí está el link del curso para el lunes: https://meet.com/ver?t=l44nmhv6sn,0
Aquí está el link del curso para este fin de semana: https://secure.drive.net/promo?t=7iksm6,0
Te comparto el enlace del drive del proyecto: https://app.promo.net/login?t=al8af2i9m👍,0
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas?,0
Recuerda que mañana hay clase a las 8:00.,0
Tu beneficio vence esta tarde. Reclama $9.900 COP en https://app.universidad.co/archivo?t=yvame58l1x,1
Tu beneficio vence el miércoles. Reclama 99.000 COP en https://www.meet.co/promo?t=w0p0ir,0
"Voy en camino, llego en 15 minutos.",0
"La factura del internet ya quedó pagada, te mando el comprobante por https://m.tienda.info/invitacion?t=nq3m8m",0
Último aviso: verifica tu cuenta en https://secure.maps.info/archivo?t=jv0i7fz 📦,1
Aquí está el link del curso para esta tarde: https://www.docs.site/archivo?t=l6k6wwf87,0
Tu beneficio vence la próxima semana. Reclama 29.900 COP en https://www.tienda.com/detalle?t=dtt83e0v3,1
"Aprovecha 40% de descuento, si te interesa te paso detalles.",0
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas?,1
Aquí está el link del curso para hoy: https://m.docs.site/confirmar?t=saahnspfy,0
"Hola Daniel, por favor confirma si recibiste el mensaje anterior 😊",1
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.,0
"Estoy en Villavicencio por trabajo, regreso el domingo.",0
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas?,1
Alerta banco: intento de compra. Confirma en https://m.universidad.com/linkt=8znf5godj 🔥,1
Te comparto el enlace del drive del proyecto: https://secure.super.info/pedido?t=3mx02,0
"El mensajero dijo que el paquete llega esta noche, ojalá sin problema.",0
"Estoy en Medellín por trabajo, regreso el domingo.",0
Tu beneficio vence el viernes. Reclama 599.000 COP en https://secure.super.info/link?t=917z04yyb,1
Tu paquete está retenido. Confirma pago de 19.900 COP en https://secure.soporte.com/invitacion?t=5gd2bn,1
Aquí está el link del curso para esta noche: https://www.super.com/invitacion?t=cbtasv5z😊,0
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.,0
"Estoy en Santa Marta por trabajo, regreso el domingo.",0
¿Me puedes enviar el archivo que mencionaste? Gracias.,0
¿Viste la promo del supermercado? Hay 20% en algunos productos.,0
🎁FELICIDADES Ana: bono de $99.000. Reclama en https://app.universidad.info/promo?t=pny6tphwp1,1
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa? 😊,1
¿Viste la promo del supermercado? Hay 30% en algunos productos.🙏,0
Tu paquete está retenido. Confirma pago de 59.000 COP en https://app.paqueteria.net/pedido?t=3whedj2xr0,1
Tu beneficio vence la próxima semana. Reclama $599.000 en https://secure.tienda.org/promo?t=i3x2curbl Contacto: 396 839 6340. URGENTE,1
¿Viste la promo del supermercado? Hay 10% en algunos productos.,0
"Estoy en Santa Marta por trabajo, regreso el domingo.👍",0
Recuerda que mañana hay clase a las 8:00.,0
¿Puedes revisar el documento y decirme si está listo para enviar? (ref 7276),0
Crédito preaprobado hasta 19.900 COP. Responde SI para info 👍 URGENTE,1
Se aprobó tu solicitud. Envía tu número de documento para continuar 💳,1
👍FELICIDADES Sofía: bono de 199.000 COP. Reclama en https://m.empleo.info/ver?t=hmt0v,1
¿Puedes confirmar tu dirección en Cartagena para la entrega?🙏,0
"Hola Ana, por favor confirma si recibiste el mensaje anterior 🔥",1
Tu beneficio vence la próxima semana. Reclama $199.000 COP en https://www.maps.com/login?t=4d4zkb9913,1
"Hola Diana, por favor confirma si recibiste el mensaje anterior 📦 Contacto: 358 828 4706.",1
"La factura del internet ya quedó pagada, te mando el comprobante por https://www.paqueteria.org/invitacion?t=vdtdxbnb4o😊",0
Viste la promo del supermercado Hay 25% en algunos productos.,0
Recuerda que mañana hay clase a las 8:00.,0
Te comparto el enlace del drive del proyecto: https://www.super.site/pedido?t=oathlnxuvj👍,1
Se aprobó tu solicitud. Envía tu número de documento para continuar 💳,1
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.😊,0
Tu beneficio vence mañana. Reclama 599.000 COP en https://app.super.net/ver?t=q1o5kn7w5,1
Tu beneficio vence el miércoles. Reclama $599.000 en https://m.maps.com/login?t=qktals,1
¿Puedes confirmar tu dirección en Barranquilla para la entrega?🙏,0
Alerta banco: intento de compra. Confirma en https://soporte.co/confirmar?t=kzsc9wyb 💳 URGENTE,1
"Hola Sofía, por favor confirma si recibiste el mensaje anterior 🙏",1
¿Me puedes enviar el archivo que mencionaste? Gracias.,0
Recuerda que mañana hay clase a las 8:00.,0
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa? 🙏,1
"Hola Sofía, ¿a qué hora nos vemos el martes para la reunión?",0
"Hola Andrés, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
"Hola Valentina, necesitamos confirmar tu información para completar el registro. Responde este mensaje. Contacto: 306 181 3546.",1
¿Me puedes enviar el archivo que mencionaste? Gracias.,0
"Estoy en Cartagena por trabajo, regreso el domingo.",0
Crédito preaprobado hasta $249.000. Responde SI para info 💰,1
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.,0
🔥Tu paquete está retenido. Confirma pago de $19.900 en https://m.promo.site/confirmar?t=oj183l8o,1
Alerta banco: intento de compra. Confirma en https://empleo.site/confirmar?t=sjfkjn,1
"Aprovecha 50% de descuento, si te interesa te paso detalles.",0
💳Has ganado un premio en Pereira. Confirma datos en https://empleo.org/confirmar?t=fh3ijaw8dn,1
¿Viste la promo del supermercado? Hay 30% en algunos productos.,0
¿Me puedes enviar el archivo que mencionaste? Gracias.👍,0
"Hola Daniel, por favor confirma si recibiste el mensaje anterior",0
Recuerda que mañana hay clase a las 8:00. (ref 7686),0
Recuerda que mañana hay clase a las 8:00.,0
Tu beneficio vence mañana. Reclama $599.000 COP en https://app.tienda.net/curso?t=duaig205,1
"Aprovecha 25% de descuento, si te interesa te paso detalles.",1
¿Sigues interesado en la oferta? Quedo atento.,0
"Voy en camino, llego en 15 minutos.",0
Último aviso: verifica tu cuenta en https://secure.super.info/pedido?t=pq6cnozlle ✅,1
Te comparto el enlace del drive del proyecto: https://m.maps.net/login?t=zurezaevrp,0
¿Viste la promo del supermercado? Hay 70% en algunos productos. (ref 4316),0
"Aprovecha 40% de descuento, si te interesa te paso detalles.😊 (ref 9928)",0
¿Puedes confirmar tu dirección en Santa Marta para la entrega?,0
Último aviso: verifica tu cuenta en https://empleo.org/ver?t=9mr0nzwm ⚠️,1
"Hola Luis, por favor confirma si recibiste el mensaje anterior",1
Recuerda que mañana hay clase a las 8:00.,0
✅FELICIDADES Sebastián: bono de 9.900 COP. Reclama en https://www.empleo.net/invitacion?t=hxqmb1t,1
"Te envié un enlace, revísalo por favor: https://www.maps.co/login?t=w9y14on",1
Crédito preaprobado hasta $399.000. Responde SI para info ✅,0
Te comparto el enlace del drive del proyecto: https://app.banco.com/archivo?t=x5ia82erb,0
"Voy en camino, llego en 15 minutos.",0
¿Puedes revisar el documento y decirme si está listo para enviar?,1
¿Puedes confirmar tu dirección en Manizales para la entrega?,1
Se aprobó tu solicitud. Envía tu número de documento para continuar 💳 Contacto: 366 609 4560.,1
Te comparto el enlace del drive del proyecto: https://m.drive.org/detalle?t=mohcqmx🙏,0
Tu beneficio vence la próxima semana. Reclama $399.000 en https://meet.co/curso?t=ebtjzw,1
"El mensajero dijo que el paquete llega la próxima semana, ojalá sin problema.",0
Alerta banco: intento de compra. Confirma en https://app.universidad.com/curso?t=nb6ml33t9v 🎁,1
Crédito preaprobado hasta $59.000 COP. Responde SI para info 🙏,1
✅Tu paquete está retenido. Confirma pago de $199.000 en https://app.maps.info/curso?t=l065w5ukh,1
"Hola Sofía, por favor confirma si recibiste el mensaje anterior ✅😊",0
Alerta banco: intento de compra. Confirma en https://m.maps.net/curso?t=c2qq03kr,1
Aquí está el link del curso para el miércoles: https://app.soporte.info/logint=a10zfrc🙏,0
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa? 🙏,1
✅Has ganado un premio en Bogotá. Confirma datos en https://www.empleo.site/pedido?t=3zoykgnd,1
"Hola María, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
Último aviso: verifica tu cuenta en https://www.empleo.info/pedido?t=7ipyknxg,1
"Voy en camino, llego en 15 minutos.",0
"Hola Mateo, ¿a qué hora nos vemos mañana para la reunión?👍",0
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.👍,0
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa? 📦,1
¿Viste la promo del supermercado? Hay 50% en algunos productos.,0
Alerta banco: intento de compra. Confirma en https://app.empleo.site/logint=jm8x6g7s 📦,1
Recuerda que mañana hay clase a las 8:00.,0
"Estoy en Cartagena por trabajo, regreso el domingo.",0
Confirmación requerida para evitar el bloqueo de tu cuenta. Responde 'OK'.,1
Último aviso: verifica tu cuenta en https://universidad.co/promo?t=9fkj19 🙏 urgnt,1
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa? 🎁,1
"Hola María, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
"Estoy en Ibagué por trabajo, regreso el domingo.",0
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas?,0
Último aviso: verifica tu cuenta en https://secure.tienda.co/ver?t=jvob3fn96f 🎁,1
"La factura del internet ya quedó pagada, te mando el comprobante por https://www.meet.info/ver?t=2azsa",0
🎁FELICIDADES Carlos: bono de $29.900 COP. Reclama en https://m.universidad.info/confirmar?t=oouumr Contacto: 311 239 5690.,1
¿Me puedes enviar el archivo que mencionaste? Gracias.,0
¿Puedes revisar el documento y decirme si está listo para enviar?,0
Aquí está el link del curso para esta noche: https://www.promo.net/link?t=1oyoaw,0
¿Viste la promo del supermercado? Hay 40% en algunos productos.,0
"Estoy en Cartagena por trabajo, regreso el domingo.",0
"Aprovecha 15% de descuento, si te interesa te paso detalles.",1
Alerta banco: intento de compra. Confirma en https://www.maps.site/archivo?t=kxxx1tr URGENTE,1
"Hola Luis, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
¿Sigues interesado en la oferta? Quedo atento. Contacto: 301 696 1006.,1
¿Me puedes enviar el archivo que mencionaste? Gracias.,0
Te comparto el enlace del drive del proyecto: https://www.soporte.info/invitacion?t=pzuoeze😊,0
¿Viste la promo del supermercado? Hay 60% en algunos productos.,0
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa?,1
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas? Contacto: 325 150 6348.,1
💰Oferta exclusiva 30% OFF. Solo hoy: https://docs.net/pedidot=77bamdad Contacto: 310 440 8194.,1
"Hola Sebastián, necesitamos confirmar tu información para completar el registro. Responde este mensaje. Contacto: 326 851 5846. URGENTE",1
Se aprobó tu solicitud. Envía tu número de documento para continuar 🎁,1
¿Puedes revisar el documento y decirme si está listo para enviar?👍,0
"Aprovecha 40% de descuento, si te interesa te paso detalles. Contacto: 365 342 4964.",1
Último aviso: verifica tu cuenta en https://m.paqueteria.co/vert=65z06i5 💰,1
"Hola Sebastián, por favor confirma si recibiste el mensaje anterior ⚠️👍",0
Se aprobó tu solicitud. Envía tu número de documento para continuar ✅,1
¿Me puedes enviar el archivo que mencionaste? Gracias.👍,0
"Hola Daniel, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas?,0
Tu beneficio vence el viernes. Reclama $19.900 COP en https://secure.super.site/login?t=thp2n,1
✅FELICIDADES Sebastián: bono de 39.900 COP. Reclama en https://app.docs.site/confirmar?t=e6s1rqpyz Contacto: 396 700 8471.,1
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa? ✅,1
¿Me puedes enviar el archivo que mencionaste? Gracias.,0
Alerta banco: intento de compra. Confirma en https://secure.universidad.net/detalle?t=kcgncyxy ✅,1
Recuerda que mañana hay clase a las 8:00.,0
Se aprobó tu solicitud. Envía tu número de documento para continuar 👍,1
💳Oferta exclusiva 10% OFF. Solo hoy: https://www.super.org/archivo?t=kg9m4uw Contacto: 351 903 9284.,1
🙏Has ganado un premio en Cali. Confirma datos en https://www.docs.org/login?t=zl7pfm8k8f URGENTE,1
Tu beneficio vence esta noche. Reclama $399.000 en https://secure.docs.co/invitacion?t=hdq4k URGENTE,1
Aquí está el link del curso para el viernes: https://promo.site/pedido?t=7uqgrw9a6,0
🎁Oferta exclusiva 10% OFF. Solo hoy: https://secure.tienda.info/login?t=21ewt4lk,1
"Voy en camino, llego en 15 minutos. (ref 9673)",0
Se aprobó tu solicitud. Envía tu número de documento para continuar 👍,1
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa? 💳,1
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.🙏,0
Alerta banco: intento de compra. Confirma en https://secure.tienda.info/invitacion?t=dv5wtgv4 🙏,1
"Estoy en Bogotá por trabajo, regreso el domingo.👍",0
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas? (ref 5363),1
✅Oferta exclusiva 30% OFF. Solo hoy: https://www.drive.info/login?t=o2oi27k URGENTE,1
FELICIDADES Ana: bono de 29.900 COP. Reclama en https://app.super.info/link?t=r5tuz URGENTE,1
Se aprobó tu solicitud. Envía tu número de documento para continuar 🔥,1
Último aviso: verifica tu cuenta en https://secure.promo.co/pedido?t=3vz0h5 😊,1
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas?,1
Te comparto el enlace del drive del proyecto: https://app.universidad.net/logint=5x2t9akd0,0
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas?,1
"Hola Sofía, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
"Hola Camila, ¿a qué hora nos vemos este fin de semana para la reunión?",0
"La factura del internet ya quedó pagada, te mando el comprobante por https://m.universidad.site/detalle?t=925modc71y",0
¿Me puedes enviar el archivo que mencionaste? Gracias.👍,0
"El mensajero dijo que el paquete llega el martes, ojalá sin problema.",0
👍Tu paquete está retenido. Confirma pago de $129.000 en https://universidad.com/curso?t=nzjve,1
"Estoy en Cartagena por trabajo, regreso el domingo. (ref 1576)",0
🎁FELICIDADES Sofía: bono de 49.900 COP. Reclama en https://app.paqueteria.info/link?t=lws7g,1
"Hola Camila, por favor confirma si recibiste el mensaje anterior ⚠️",0
Necesitamos validar unos datos pa continuar. ¿Puedes responder cuando puedas? (ref 9539),0
"El mensajero dijo que el paquete llega hoy, ojalá sin problema.",0
"Hola Paula, por favor confirma si recibiste el mensaje anterior ⚠️",0
"Voy en camino, llego en 15 minutos.😊",0
🎁FELICIDADES Daniel: bono de 29.900 COP. Reclama en https://secure.maps.info/invitacion?t=0az1usnw0w URGENTE,1
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.👍,0
"La factura del internet ya quedó pagada, te mando el comprobante por https://m.tienda.org/login?t=a11s5🙏 (ref 2460)",0
Tenemos una oportunidad laboral con pago semanal. ¿Te interesa? 📦,1
🔥Tu paquete está retenido. Confirma pago de 9.900 COP en https://soporte.com/link?t=xzoajcr,1
Crédito preaprobado hasta $399.000 COP. Responde SI para info 🙏,1
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.,0
"El mensajero dijo que el paquete llega el viernes, ojalá sin problema.",0
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas?,0
"Hola Valentina, necesitamos confirmar tu información para completar el registro. Responde este mensaje. Contacto: 334 366 4442.",1
"El mensajero dijo que el paquete llega hoy, ojalá sin problema.",0
Se aprobó tu solicitud. Envía tu número de documento pa continuar,1
"Hola Mateo, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
Crédito preaprobado hasta $599.000 COP. Responde SI para info,1
Oferta exclusiva 30% OFF. Solo hoy: https://app.universidad.site/invitacion?t=iup9qpy2,1
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.,0
✅Tu paquete está retenido. Confirma pago de 99.000 COP en https://m.docs.info/invitacion?t=396se9ysri,1
"Voy en camino, llego en 15 minutos.",0
😊FELICIDADES Valentina: bono de $599.000. Reclama en https://secure.tienda.co/confirmar?t=ce86j URGENTE,1
¿Sigues interesado en la oferta? Quedo atento.,0
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento. (ref 2886),0
Tu beneficio vence este fin de semana. Reclama $49.900 en https://maps.site/confirmar?t=9y37q URGENTE,1
Te comparto el enlace del drive del proyecto: https://www.banco.co/curso?t=lupwxso9🙏,0
Te comparto el enlace del drive del proyecto: https://secure.empleo.org/detalle?t=4xivc,0
Confirmación requerida para evitar el bloqueo de tu cuenta. Responde 'OK'.,1
"Voy en camino, llego en 15 minutos.",0
"Te envié un enlace, revísalo por favor: https://secure.docs.co/login?t=kismmfb Contacto: 349 996 1080.",1
¿Puedes confirmar tu dirección en Cali para la entrega?,1
"Voy en camino, llego en 15 minutos.👍",0
Te comparto el enlace del drive del proyecto: https://m.maps.info/archivo?t=h3ke4183,0
📦FELICIDADES Daniel: bono de $249.000. Reclama en https://docs.org/link?t=wpeo590wb Contacto: 348 758 7697.,1
Aquí está el link del curso para el martes: https://app.maps.info/link?t=j5av14,0
Recuerda que mañana hay clase a las 8:00. (ref 3766),0
"La factura del internet ya quedó pagada, te mando el comprobante por https://app.soporte.site/login?t=v2ytjqih",0
¿Puedes confirmar tu dirección en Manizales para la entrega? (ref 3767),0
"Te envié un enlace, revísalo por favor: https://secure.tienda.co/curso?t=gvmig",0
"Estoy en Pereira por trabajo, regreso el domingo.👍",0
Aquí está el link del curso para hoy: https://app.super.net/confirmar?t=ibgvysi😊,0
Te comparto el enlace del drive del proyecto: https://m.empleo.co/detalle?t=imaa6xmvw😊,0
"Hola Sofía, ¿a qué hora nos vemos el lunes para la reunión?",0
"Estoy en Cali por trabajo, regreso el domingo.",0
Se aprobó tu solicitud. Envía tu número de documento para continuar 🔥,1
¿Puedes confirmar tu dirección en Barranquilla para la entrega?,1
Tu beneficio vence el jueves. Reclama $599.000 en https://m.meet.com/curso?t=yspr9570,1
¿Me puedes enviar el archivo que mencionaste? Gracias.🙏 (ref 6229),1
Confirmación requerida para evitar el bloqueo de tu cuenta. Responde 'OK'.,0
"El mensajero dijo que el paquete llega esta tarde, ojalá sin problema.",0
"La factura del internet ya quedó pagada, te mando el comprobante por https://app.empleo.info/link?t=dch4qf3tl",0
"El mensajero dijo que el paquete llega el miércoles, ojalá sin problema.",0
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento. (ref 9646),0
"Voy en camino, llego en 15 minutos.",0
"Aprovecha 50% de descuento, si te interesa te paso detalles.",0
💳Has ganado un premio en Cartagena. Confirma datos en https://app.banco.info/detalle?t=nhuvb97332,1
"Estoy en Medellín por trabajo, regreso el domingo.👍 (ref 7841)",0
Alerta banco: intento de compra. Confirma en https://secure.paqueteria.info/curso?t=fbrelf ✅,1
"Hola Valentina, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
Se aprobó tu solicitud. Envía tu número de documento para continuar 🎁,1
"Voy en camino, llego en 15 minutos.",0
Tu beneficio vence el viernes. Reclama $129.000 en https://secure.super.info/login?t=cf0az Contacto: 384 368 3559. URGENTE,1
💰Oferta exclusiva 10% OFF. Solo hoy: https://tienda.co/ver?t=n7slgham,1
"El mensajero dijo que el paquete llega mañana, ojalá sin problema.",0
"Hola Carlos, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas?,1
"Hola Carlos, por favor confirma si recibiste el mensaje anterior 💳",1
Necesitamos validar unos datos para continuar. ¿Puedes responder cuando puedas? URGENTE,1
Último aviso: verifica tu cuenta en https://m.drive.net/archivo?t=mng6ic 👍 URGENTE,1
¿Me puedes enviar el archivo que mencionaste? Gracias.,0
Me llegó una alerta del banco; voy a llamar para confirmar y te cuento.,0
FELICIDADES Daniel: bono de $599.000. Reclama en https://m.tienda.co/link?t=j54bs,1
Tu beneficio vence este fin de semana. Reclama $29.900 en https://www.maps.site/link?t=ey3l5ymhtl URGENTE,0
¿Puedes revisar el documento y decirme si está listo para enviar?,0
"Hola Daniel, por favor confirma si recibiste el mensaje anterior 🎁 Contacto: 397 261 6477.",0
Puedes confirmar tu dirección en Ibagué para la entrega,0
"Hola Luis, ¿a qué hora nos vemos la próxima semana para la reunión? (ref 1338)",0
"Voy en camino, llego en 15 minutos.",0
Has ganado un premio en Santa Marta. Confirma datos en https://www.drive.site/login?t=x1m31vz URGENTE,1
"Aprovecha 50% de descuento, si te interesa te paso detalles.",1
Aquí está el link del curso para esta tarde: https://maps.com/login?t=rpuiv,0
"El mensajero dijo que el paquete llega el martes, ojalá sin problema. (ref 8434)",0
💰Has ganado un premio en Cali. Confirma datos en https://www.universidad.net/confirmar?t=fwoii,1
Confirmación requerida para evitar el bloqueo de tu cuenta. Responde 'OK'.,1
¿Sigues interesado en la oferta? Quedo atento. (ref 5348),0
"Hola Daniel, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
"Te envié un enlace, revísalo por favor: https://docs.co/pedido?t=ubbxa",1
⚠️Tu paquete está retenido. Confirma pago de $399.000 en https://www.drive.net/detalle?t=xykvidu,1
"Hola Sebastián, necesitamos confirmar tu información para completar el registro. Responde este mensaje.",1
¿Puedes confirmar tu dirección en Santa Marta para la entrega?,0
¿Puedes revisar el documento y decirme si está listo para enviar? (ref 2351),0
"Estoy en Manizales por trabajo, regreso el domingo.",1
Alerta banco: intento de compra. Confirma en https://soporte.site/confirmar?t=h48ah0ee 🙏,1
Confirmación requerida para evitar el bloqueo de tu cuenta. Responde 'OK'. Contacto: 325 541 9582.,0
✅Tu paquete está retenido. Confirma pago de 14.900 COP en https://www.drive.org/pedido?t=zo22vdp,1
"Te envié un enlace, revísalo por favor: https://m.paqueteria.org/confirmar?t=fvwpotaos (ref 2104)",0
💰Has ganado un premio en Barranquilla. Confirma datos en https://app.meet.com/invitacion?t=r99rtnps Contacto: 380 232 5983.,1
Crédito preaprobado hasta $599.000 COP. Responde SI para info 📦,1
¿Me puedes enviar el archivo que mencionaste? Gracias. (ref 2375),0
"Voy en camino, llego en 15 minutos.",0
Último aviso: verifica tu cuenta en https://secure.empleo.co/promo?t=v19w0cbcnn 💰,1
🔥Oferta exclusiva 30% OFF. Solo hoy: https://app.docs.net/archivo?t=zzwyenc URGENTE,1
¿Me puedes enviar el archivo que mencionaste? Gracias.,0
Aquí está el link del curso para el martes: https://secure.super.site/link?t=ulsf8w,0
