comentario,sentimiento
"Compré estos audífonos inalámbricos y superó. con mi laptop el micrófono está excelente; se escucha claro. Además con mi laptop, se conecta rápido.",positivo
"Una decepción: graves casi no se sienten! así que la diseño es de baja calidad y la comodidad se descarga enseguida! Y en llamadas, sonido sucio!",negativo
Una decepción: se corta a cada rato! por eso la materiales es pésimo y la micrófono se descarga enseguida!,negativo
Pésimo compra. la verdad se escucha distorsionado además la batería es pésimo.,negativo
"me sorprendieron: no se corta. pero la alcance bluetooth es perfecto y la cancelación de ruido dura bastante. pero tras varios días, batería dura mucho.",positivo
Compré estos audífonos inalámbricos y funciona. la verdad el micrófono está perfecto; llegó antes de tiempo.,positivo
"para mi, falló el micrófono: de baja calidad! sonido sucio! por eso la cancelación de ruido es de baja calidad! Y en llamadas, se desconecta solo!",negativo
"me gustó estos audífonos inalámbricos! por el precio, el batería es increíble y graves potentes! aunque la micrófono dura y muy cómodo para usar horas! Por eso para mi, buen aislamiento!",positivo
Defectuoso compra. después de una semana difícil de emparejar por eso la cancelación de ruido es defectuoso.,negativo
"al probarlos, no cumple el diseño: muy flojo. la batería dura muy poco. pero la sonido es muy flojo. Aunque por el precio, difícil de emparejar.",negativo
Compré estos audífonos inalámbricos y superó. al probarlos el volumen está increíble; graves potentes.,positivo
"en el bus, funciona el cancelación de ruido: recomendado. buen aislamiento. por eso la sonido es recomendado. Sin embargo en el bus, llegó antes de tiempo.",positivo
compré estos audífonos inalámbricos y fue decepcionante. con mi celular el diseño está decepcionante; se escucha distorsionado.,negativo
"recomiendo estos audífonos inalámbricos. después de una semana, el volumen es excelente y se conecta rápido. y la carga dura y graves potentes.",positivo
"Me sorprendieron: se escucha claro! aunque la batería es increíble y la materiales rinde un montón! Además la verdad, batería dura mucho!",positivo
"Compré estos audífonos inalámbricos y me gustó! en el bus el comodidad está fantástico; buen aislamiento! También en el bus, batería dura mucho!",positivo
"De baja calidad compra. en la oficina no aísla nada sin embargo la carga es de baja calidad. Así que sinceramente, me aprietan y molestan.",negativo
"odio estos audífonos inalámbricos. sinceramente, el comodidad es de baja calidad y no aísla nada. pero la alcance bluetooth dura nada y difícil de emparejar.",negativo
"Malo compra. después de una semana difícil de emparejar aunque la materiales es malo. Además en el bus, me aprietan y molestan.",negativo
"Excelente compra. en llamadas buen aislamiento por eso la conectividad es excelente. También por el precio, sonido limpio.",positivo
Compré estos audífonos inalámbricos y me gustó. después de una semana el cancelación de ruido está muy bueno; buen aislamiento.,positivo
"me sorprendieron: fácil de emparejar. así que la sonido es muy bueno y la comodidad dura bastante. pero después de una semana, se escucha claro.",positivo
Me sorprendieron: fácil de emparejar. por eso la cancelación de ruido es de calidad y la diseño aguanta todo el día.,positivo
"Malo compra. en mi caso se escucha distorsionado además la diseño es malo. Además sinceramente, graves casi no se sienten.",negativo
"no funciona estos audífonos inalámbricos. tras varios días, el conectividad es pésimo y difícil de emparejar. también la volumen no rinde y calidad precio terrible.",negativo
Me sorprendieron: no se corta. y la diseño es buenísimo y la sonido dura bastante.,positivo
"no funciona estos audífonos inalámbricos! al probarlos, el micrófono es decepcionante y llegó tarde y golpeado! pero la materiales no rinde y se escucha distorsionado! Y en general, sonido sucio!",negativo
"no recomiendo estos audífonos inalámbricos. para mi, el carga es malo y me aprietan y molestan. por eso la volumen dura nada y llegó tarde y golpeado. además sinceramente, calidad precio terrible.",negativo
"De baja calidad compra. en mi caso llegó tarde y golpeado además la cancelación de ruido es de baja calidad. Por eso en mi caso, me aprietan y molestan.",negativo
Malo compra. en la oficina calidad precio terrible así que la comodidad es malo.,positivo
Compré estos audífonos inalámbricos y fue horrible. en llamadas el micrófono está horrible; me aprietan y molestan.,negativo
"cumple estos audífonos inalámbricos. en la oficina, el micrófono es de calidad y sonido limpio. y la batería rinde y calidad precio excelente. Así que en el bus, se conecta rápido.",positivo
Una decepción: se escucha distorsionado. además la diseño es inservible y la carga no aguanta.,positivo
"falló estos audífonos inalámbricos. con mi laptop, el cancelación de ruido es decepcionante y se desconecta solo. sin embargo la carga se agota y se corta a cada rato. Por eso por el precio, sonido sucio.",negativo
"con mi laptop, no recomiendo el micrófono: terrible. la batería dura muy poco. sin embargo la batería es terrible. Sin embargo en general, se escucha distorsionado.",negativo
"Muy flojo compra. en general me aprietan y molestan así que la alcance bluetooth es muy flojo. También sinceramente, se corta a cada rato.",negativo
"vale la pena estos audífonos inalámbricos. para mi, el volumen es excelente y fácil de emparejar. y la diseño aguanta y fácil de emparejar. Pero en la oficina, muy cómodo para usar horas.",positivo
Perfecto compra. con mi celular muy cómodo para usar horas además la diseño es perfecto.,positivo
"decepcionante compra. en llamadas no aísla nada así que la alcance bluetooth es decepcionante. así que al probarlos, la batería dura muy poco.",negativo
Compré estos audífonos inalámbricos y fue terrible. en la oficina el alcance bluetooth está terrible; graves casi no se sienten.,negativo
"Buenísimo compra. con mi laptop buen aislamiento además la carga es buenísimo. Sin embargo después de una semana, buen aislamiento.",positivo
"tras varios días, no recomiendo el conectividad: inservible. calidad precio terrible. por eso la sonido es inservible.",negativo
Me sorprendieron: muy cómodo para usar horas. y la diseño es de calidad y la materiales rinde un montón.,positivo
"Una decepción: se escucha distorsionado. aunque la comodidad es lamentable y la batería no aguanta. Además al probarlos, se escucha distorsionado.",negativo
pésimo compra. la verdad me aprietan y molestan y la carga es pésimo.,negativo
"no recomiendo estos audífonos inalámbricos. sinceramente, el volumen es de baja calidad y se desconecta solo. y la micrófono no rinde y no aísla nada. Y en general, la batería dura muy poco.",negativo
"funciona estos audífonos inalámbricos. al probarlos, el comodidad es sólido y no se corta. también la cancelación de ruido dura y muy cómodo para usar horas.",positivo
"después de una semana, recomiendo el comodidad: fantástico. sonido limpio. y la sonido es fantástico. Pero la verdad, se conecta rápido.",positivo
Una decepción: difícil de emparejar. por eso la alcance bluetooth es terrible y la conectividad se muere rápido.,negativo
"Una decepción: no aísla nada. sin embargo la carga es horrible y la sonido se descarga enseguida. También en la oficina, se escucha distorsionado.",negativo
"la verdad, no vale la pena el alcance bluetooth: lamentable. graves casi no se sienten. sin embargo la sonido es lamentable. Además después de una semana, se escucha distorsionado.",negativo
Una decepción: me aprietan y molestan. aunque la comodidad es de baja calidad y la batería se muere rápido.,negativo
"en la oficina, cumple el materiales: recomendado. batería dura mucho. por eso la micrófono es recomendado.",positivo
"Una decepción: se desconecta solo. por eso la diseño es de baja calidad y la micrófono se muere rápido. Así que en la oficina, me aprietan y molestan.",negativo
Pésimo compra. la verdad no aísla nada y la micrófono es pésimo.,negativo
"no me gustó estos audífonos inalámbricos. en la oficina, el conectividad es pésimo y se escucha distorsionado. y la alcance bluetooth no rinde y difícil de emparejar.",negativo
"De calidad compra. en la oficina muy cómodo para usar horas también la conectividad es de calidad. Por eso al probarlos, se conecta rápido.",positivo
De calidad compra! en llamadas llegó antes de tiempo aunque la conectividad es de calidad!,negativo
"Me sorprendieron: muy cómodo para usar horas. y la materiales es buenísimo y la sonido dura bastante. Sin embargo con mi celular, muy cómodo para usar horas.",positivo
Malo compra. en mi caso llegó tarde y golpeado así que la materiales es malo.,negativo
"no funciona estos audífonos inalámbricos. al probarlos, el sonido es de baja calidad y me aprietan y molestan. por eso la alcance bluetooth dura nada y se escucha distorsionado. Pero al probarlos, difícil de emparejar.",negativo
"compré estos audífonos inalámbricos y funciona! con mi celular el cancelación de ruido está excelente; buen aislamiento! sin embargo con mi celular, calidad precio excelente!",positivo
"en el bus, odio el diseño: horrible! sonido sucio! pero la carga es horrible! Además con mi celular, se corta a cada rato!",negativo
Una decepción: se escucha distorsionado. también la conectividad es malo y la cancelación de ruido se descarga enseguida.,negativo
"Me sorprendieron: buen aislamiento. y la carga es sólido y la comodidad rinde un montón. Por eso en la oficina, se conecta rápido.",positivo
"Compré estos audífonos inalámbricos y cumple. con mi celular el sonido está perfecto; buen aislamiento. Además con mi celular, no se corta.",positivo
"no vale la pena estos audífonos inalámbricos. por el precio, el comodidad es malo y me aprietan y molestan. así que la alcance bluetooth dura nada y calidad precio terrible.",negativo
"después de una semana, no cumple el micrófono: terrible. calidad precio terrible. y la diseño es terrible.",negativo
"Me sorprendieron: no se corta. por eso la sonido es impecable y la batería aguanta todo el día. Y en general, llegó antes de tiempo.",positivo
"vale la pena estos audífonos inalámbricos! sinceramente, el carga es impecable y calidad precio excelente! también la alcance bluetooth dura y se escucha claro! Pero en general, buen aislamiento!",positivo
"para mi, no funciona el volumen: horrible. sonido sucio. así que la diseño es horrible. Y en el bus, se escucha distorsionado.",negativo
Compré estos audífonos inalámbricos y me gustó. la verdad el diseño está recomendado; no se corta.,positivo
"Una decepción: se desconecta solo. pero la materiales es de baja calidad y la alcance bluetooth se muere rápido. Sin embargo la verdad, se escucha distorsionado.",negativo
"compré estos audífonos inalámbricos y fue defectuoso. con mi laptop el batería está defectuoso; sonido sucio. sin embargo con mi laptop, calidad precio terrible.",negativo
"no recomiendo estos audífonos inalámbricos. en general, el materiales es de baja calidad y no aísla nada. por eso la batería no rinde y se escucha distorsionado.",negativo
"Compré estos audífonos inalámbricos y me gustó. en mi caso el micrófono está fantástico; graves potentes. También en mi caso, se escucha claro.",positivo
"no vale la pena estos audífonos inalámbricos. con mi celular, el alcance bluetooth es de baja calidad y sonido sucio. y la conectividad dura nada y se desconecta solo.",negativo
"Impecable compra. sinceramente no se corta pero la conectividad es impecable. Así que en general, se escucha claro.",positivo
"vale la pena estos audífonos inalámbricos. al probarlos, el carga es de calidad y llegó antes de tiempo. además la micrófono dura y graves potentes.",positivo
fantástico compra. en mi caso llegó antes de tiempo también la conectividad es fantástico.,positivo
"Una decepción: me aprietan y molestan. también la sonido es muy flojo y la comodidad se descarga enseguida. Así que para mi, se desconecta solo.",negativo
"con mi laptop, superó el diseño: increíble! batería dura mucho! aunque la batería es increíble!",positivo
"odio estos audífonos inalámbricos. en la oficina, el batería es muy flojo y difícil de emparejar. sin embargo la alcance bluetooth no rinde y difícil de emparejar. Aunque por el precio, sonido sucio.",negativo
me sorprendieron: calidad precio excelente. también la micrófono es de calidad y la materiales rinde un montón.,positivo
Compré estos audífonos inalámbricos y fue de baja calidad. al probarlos el batería está de baja calidad; no aísla nada.,negativo
"Muy flojo compra. en el bus la batería dura muy poco y la cancelación de ruido es muy flojo. Pero la verdad, difícil de emparejar.",negativo
"me encanta estos audífonos inalámbricos! en mi caso, el comodidad es recomendado y calidad precio excelente! y la conectividad aguanta y muy cómodo para usar horas!",positivo
"no funciona estos audífonos inalámbricos. por el precio, el alcance bluetooth es horrible y se corta a cada rato. además la batería no rinde y se desconecta solo.",negativo
"con mi celular, cumple el batería: sólido. se conecta rápido. también la materiales es sólido. Además con mi laptop, no se corta.",positivo
Me sorprendieron: no se corta. sin embargo la materiales es buenísimo y la cancelación de ruido dura bastante.,positivo
Compré estos audífonos inalámbricos y me encanta. con mi laptop el batería está fantástico; sonido limpio.,positivo
"con mi celular, me gustó el micrófono: impecable. se escucha claro. aunque la alcance bluetooth es impecable.",positivo
Perfecto compra. en llamadas graves potentes además la diseño es perfecto.,positivo
Muy flojo compra. en la oficina se escucha distorsionado pero la cancelación de ruido es muy flojo.,negativo
Compré estos audífonos inalámbricos y fue malo. en la oficina el carga está malo; no aísla nada.,negativo
"para mi, funciona el batería: muy bueno. sonido limpio. así que la diseño es muy bueno.",positivo
"odio estos audífonos inalámbricos. sinceramente, el materiales es terrible y llegó tarde y golpeado. además la conectividad no rinde y llegó tarde y golpeado.",negativo
"vale la pena estos audífonos inalámbricos. al probarlos, el materiales es increíble y sonido limpio. también la volumen aguanta y buen aislamiento.",positivo
"cumple estos audífonos inalámbricos. sinceramente, el comodidad es fantástico y graves potentes. sin embargo la micrófono aguanta y sonido limpio. Por eso en mi caso, sonido limpio.",positivo
"Compré estos audífonos inalámbricos y fue inservible. la verdad el carga está inservible; sonido sucio. Además la verdad, me aprietan y molestan.",negativo
Compré estos audífonos inalámbricos y vale la pena. en mi caso el sonido está de calidad; se escucha claro.,positivo
"sinceramente, no cumple el materiales: pésimo! se corta a cada rato! por eso la diseño es pésimo!",negativo
"Compré estos audífonos inalámbricos y fue malo. en la oficina el volumen está malo; graves casi no se sienten. Sin embargo en la oficina, sonido sucio.",negativo
Compré estos audífonos inalámbricos y fue decepcionante. para mi el alcance bluetooth está decepcionante; se desconecta solo.,negativo
Me sorprendieron: se escucha claro. también la batería es increíble y la volumen dura bastante.,positivo
"superó estos audífonos inalámbricos. en mi caso, el comodidad es fantástico y calidad precio excelente. pero la cancelación de ruido dura y calidad precio excelente.",positivo
Me sorprendieron: sonido limpio! y la diseño es recomendado y la conectividad aguanta todo el día!,positivo
"por el precio, me gustó el comodidad: recomendado. buen aislamiento. además la micrófono es recomendado.",positivo
"Compré estos audífonos inalámbricos y recomiendo. tras varios días el cancelación de ruido está excelente; sonido limpio. Por eso tras varios días, no se corta.",positivo
Sólido compra. la verdad fácil de emparejar sin embargo la diseño es sólido.,positivo
Me sorprendieron: calidad precio excelente. además la alcance bluetooth es excelente y la cancelación de ruido aguanta todo el día.,negativo
"Decepcionante compra. la verdad me aprietan y molestan por eso la volumen es decepcionante. Y por el precio, se desconecta solo.",negativo
"sinceramente, no me gustó el cancelación de ruido: muy flojo. se corta a cada rato. así que la diseño es muy flojo. Pero tras varios días, se corta a cada rato.",negativo
Fantástico compra. en el bus se escucha claro y la diseño es fantástico.,positivo
Una decepción: se escucha distorsionado. además la sonido es malo y la comodidad se muere rápido.,negativo
Me sorprendieron: sonido limpio. aunque la conectividad es excelente y la cancelación de ruido aguanta todo el día.,positivo
Compré estos audífonos inalámbricos y fue malo. en el bus el micrófono está malo; no aísla nada.,negativo
"perfecto compra. después de una semana llegó antes de tiempo por eso la conectividad es perfecto. así que en llamadas, graves potentes.",positivo
"recomiendo estos audífonos inalámbricos. después de una semana, el conectividad es increíble y buen aislamiento. pero la materiales rinde y sonido limpio. Además la verdad, sonido limpio.",positivo
"Horrible compra. en llamadas difícil de emparejar así que la volumen es horrible. Por eso por el precio, difícil de emparejar.",negativo
Me sorprendieron: batería dura mucho. por eso la comodidad es de calidad y la materiales rinde un montón.,positivo
Una decepción: llegó tarde y golpeado. además la alcance bluetooth es muy flojo y la materiales se descarga enseguida.,negativo
"una decepción: se corta a cada rato. también la volumen es muy flojo y la diseño se descarga enseguida. aunque la verdad, se escucha distorsionado.",negativo
"al probarlos, funciona el carga: sólido. graves potentes. por eso la alcance bluetooth es sólido.",negativo
Me sorprendieron: se escucha claro! pero la carga es sólido y la cancelación de ruido dura bastante!,negativo
Compré estos audífonos inalámbricos y fue de baja calidad. con mi celular el volumen está de baja calidad; se escucha distorsionado.,negativo
"en la oficina, funciona el volumen: muy bueno. se conecta rápido. y la sonido es muy bueno. Así que en mi caso, fácil de emparejar.",positivo
"con mi laptop, odio el sonido: decepcionante. se desconecta solo. pero la volumen es decepcionante. Además sinceramente, se desconecta solo.",positivo
"para mi, odio el cancelación de ruido: malo! se desconecta solo! también la sonido es malo! Pero para mi, se desconecta solo!",negativo
"no funciona estos audífonos inalámbricos. con mi celular, el cancelación de ruido es decepcionante y calidad precio terrible. y la sonido se agota y me aprietan y molestan.",negativo
"me sorprendieron: se conecta rápido. pero la micrófono es fantástico y la alcance bluetooth aguanta todo el día. aunque en el bus, sonido limpio.",positivo
de calidad compra. en general sonido limpio pero la materiales es de calidad.,positivo
"Una decepción: llegó tarde y golpeado. así que la cancelación de ruido es defectuoso y la batería no aguanta. Así que con mi celular, calidad precio terrible.",positivo
De baja calidad compra. después de una semana se escucha distorsionado así que la diseño es de baja calidad.,negativo
"no funciona estos audífonos inalámbricos. sinceramente, el diseño es pésimo y sonido sucio. sin embargo la materiales se agota y la batería dura muy poco.",negativo
"tras varios días, recomiendo el sonido: muy bueno. batería dura mucho. así que la alcance bluetooth es muy bueno.",positivo
Compré estos audífonos inalámbricos y fue terrible. al probarlos el volumen está terrible; sonido sucio.,negativo
"no me gustó estos audífonos inalámbricos. en general, el carga es lamentable y sonido sucio. sin embargo la sonido dura nada y sonido sucio. Además en el bus, la batería dura muy poco.",negativo
"Sólido compra! en llamadas muy cómodo para usar horas por eso la volumen es sólido! Por eso en general, se escucha claro!",positivo
"para mi, no vale la pena el carga: inservible! difícil de emparejar! también la sonido es inservible! Por eso en mi caso, llegó tarde y golpeado!",negativo
Una decepción: calidad precio terrible. aunque la conectividad es inservible y la volumen no aguanta.,negativo
Buenísimo compra. sinceramente graves potentes así que la micrófono es buenísimo.,positivo
"Una decepción: no aísla nada. sin embargo la cancelación de ruido es inservible y la micrófono se descarga enseguida. Así que la verdad, me aprietan y molestan.",negativo
"Defectuoso compra. para mi difícil de emparejar también la alcance bluetooth es defectuoso. Así que en general, me aprietan y molestan.",negativo
Excelente compra. en llamadas fácil de emparejar aunque la micrófono es excelente.,positivo
Me sorprendieron: sonido limpio. aunque la comodidad es fantástico y la batería aguanta todo el día.,positivo
"Me sorprendieron: se escucha claro. y la carga es impecable y la micrófono aguanta todo el día. Sin embargo después de una semana, se conecta rápido.",positivo
"en mi caso, superó el micrófono: muy bueno. se conecta rápido. así que la alcance bluetooth es muy bueno. Y en el bus, calidad precio excelente.",positivo
"Compré estos audífonos inalámbricos y fue horrible. en la oficina el cancelación de ruido está horrible; la batería dura muy poco. Y en la oficina, la batería dura muy poco.",negativo
"Defectuoso compra! en la oficina me aprietan y molestan también la micrófono es defectuoso! Así que en el bus, calidad precio terrible!",negativo
"para mi, vale la pena el micrófono: sólido. batería dura mucho. y la carga es sólido. Además sinceramente, calidad precio excelente.",positivo
Increíble compra. tras varios días llegó antes de tiempo por eso la micrófono es increíble.,positivo
"compré estos audífonos inalámbricos y fue pésimo. por el precio el volumen está pésimo; llegó tarde y golpeado. por eso por el precio, difícil de emparejar.",negativo
"recomiendo estos audífonos inalámbricos. en llamadas, el micrófono es fantástico y sonido limpio. además la comodidad aguanta y graves potentes. Y con mi celular, graves potentes.",positivo
"odio estos audífonos inalámbricos. tras varios días, el cancelación de ruido es defectuoso y difícil de emparejar. sin embargo la conectividad se agota y se escucha distorsionado.",negativo
Compré estos audífonos inalámbricos y vale la pena. en llamadas el micrófono está impecable; se conecta rápido.,positivo
"Una decepción: la batería dura muy poco! pero la sonido es de baja calidad y la carga se descarga enseguida! Por eso en el bus, no aísla nada!",negativo
"Compré estos audífonos inalámbricos y fue defectuoso. en mi caso el micrófono está defectuoso; se escucha distorsionado. También en mi caso, se escucha distorsionado.",negativo
sólido compra. en la oficina buen aislamiento además la cancelación de ruido es sólido.,positivo
"Compré estos audífonos inalámbricos y me gustó. en la oficina el comodidad está increíble; buen aislamiento. Aunque en la oficina, se escucha claro.",positivo
"Compré estos audífonos inalámbricos y fue pésimo. por el precio el volumen está pésimo; la batería dura muy poco. Sin embargo por el precio, difícil de emparejar.",negativo
Muy bueno compra. sinceramente batería dura mucho por eso la volumen es muy bueno.,positivo
"Una decepción: llegó tarde y golpeado. aunque la conectividad es decepcionante y la micrófono no aguanta. Por eso en general, se escucha distorsionado.",negativo
Compré estos audífonos inalámbricos y fue de baja calidad. con mi laptop el comodidad está de baja calidad; llegó tarde y golpeado.,negativo
"me gustó estos audífonos inalámbricos. en general, el comodidad es perfecto y buen aislamiento. además la batería dura y muy cómodo para usar horas.",positivo
"defectuoso compra. en el bus se corta a cada rato aunque la diseño es defectuoso. además en mi caso, se corta a cada rato.",negativo
"Compré estos audífonos inalámbricos y funciona. en mi caso el comodidad está impecable; batería dura mucho. Sin embargo en mi caso, se escucha claro.",positivo
"Me sorprendieron: buen aislamiento. además la materiales es sólido y la sonido dura bastante. Por eso después de una semana, fácil de emparejar.",positivo
